Nom station;Commune;insee;ligne;geometry;objectid;geo_point_2d
CHU EURASANTE;LILLE;350;1;"{""type"": ""Point"", ""coordinates"": [3.0389619393586, 50.607948552343]}";1;50.6079485523,3.03896193936
GARE LILLE FLANDRES;LILLE;350;1;"{""type"": ""Point"", ""coordinates"": [3.070986975543, 50.63745511401]}";8;50.637455114,3.07098697554
MAIRIE DE LILLE;LILLE;350;2;"{""type"": ""Point"", ""coordinates"": [3.0706199051231, 50.632845340173]}";1001;50.6328453402,3.07061990512
BOIS BLANC;LILLE;350;2;"{""type"": ""Point"", ""coordinates"": [3.0307630273727, 50.633894635444]}";1009;50.6338946354,3.03076302737
BOURG;LOMME (LILLE);355;2;"{""type"": ""Point"", ""coordinates"": [2.9851696428941, 50.645577778648]}";1015;50.6455777786,2.98516964289
JEAN JAURES;VILLENEUVE D'ASCQ;009;2;"{""type"": ""Point"", ""coordinates"": [3.1347607119403, 50.658436464971]}";1023;50.658436465,3.13476071194
ROUBAIX CHARLES DE GAULLE;ROUBAIX;512;2;"{""type"": ""Point"", ""coordinates"": [3.1698029569285, 50.686915953434]}";1029;50.6869159534,3.16980295693
COLBERT;TOURCOING;599;2;"{""type"": ""Point"", ""coordinates"": [3.1566311193936, 50.725813399036]}";1038;50.725813399,3.15663111939
C.H. DRON;TOURCOING;599;2;"{""type"": ""Point"", ""coordinates"": [3.1808585501178, 50.743387432648]}";1042;50.7433874326,3.18085855012
EUROTELEPORT;ROUBAIX;512;2;"{""type"": ""Point"", ""coordinates"": [3.1793097149066, 50.690804213501]}";1030;50.6908042135,3.17930971491
ALSACE;ROUBAIX;512;2;"{""type"": ""Point"", ""coordinates"": [3.1609568646194, 50.700694625056]}";1033;50.7006946251,3.16095686462
PHALEMPINS;TOURCOING;599;2;"{""type"": ""Point"", ""coordinates"": [3.1571264164043, 50.73242529958]}";1039;50.7324252996,3.1571264164
BOURGOGNE;TOURCOING;599;2;"{""type"": ""Point"", ""coordinates"": [3.1796430778053, 50.73945875721]}";1041;50.7394587572,3.17964307781
WAZEMMES;LILLE;350;1;"{""type"": ""Point"", ""coordinates"": [3.0515397947622, 50.623433643822]}";4;50.6234336438,3.05153979476
CAULIER;LILLE;350;1;"{""type"": ""Point"", ""coordinates"": [3.0867928451557, 50.636699555761]}";9;50.6366995558,3.08679284516
FIVES;LILLE;350;1;"{""type"": ""Point"", ""coordinates"": [3.0911541268409, 50.632779299555]}";10;50.6327792996,3.09115412684
MARBRERIE;LILLE;350;1;"{""type"": ""Point"", ""coordinates"": [3.0978553960575, 50.630130179086]}";11;50.6301301791,3.09785539606
MONTEBELLO;LILLE;350;2;"{""type"": ""Point"", ""coordinates"": [3.0454140920183, 50.622032594138]}";1006;50.6220325941,3.04541409202
CANTELEU;LILLE;350;2;"{""type"": ""Point"", ""coordinates"": [3.0243390103697, 50.637338607553]}";1010;50.6373386076,3.02433901037
LES PRES EDGARD PISANI;VILLENEUVE D'ASCQ;009;2;"{""type"": ""Point"", ""coordinates"": [3.1263926515765, 50.650069811661]}";1022;50.6500698117,3.12639265158
WASQUEHAL HOTEL DE VILLE;WASQUEHAL;646;2;"{""type"": ""Point"", ""coordinates"": [3.1314556310117, 50.669749052399]}";1025;50.6697490524,3.13145563101
ROUBAIX GRAND PLACE;ROUBAIX;512;2;"{""type"": ""Point"", ""coordinates"": [3.174713573281, 50.69179865638]}";1031;50.6917986564,3.17471357328
FORT DE MONS;MONS EN BAROEUL;410;2;"{""type"": ""Point"", ""coordinates"": [3.1190927927093, 50.642081629047]}";1021;50.642081629,3.11909279271
CROIX CENTRE;CROIX;163;2;"{""type"": ""Point"", ""coordinates"": [3.1461794540337, 50.674719456721]}";1026;50.6747194567,3.14617945403
CARLIERS;TOURCOING;599;2;"{""type"": ""Point"", ""coordinates"": [3.1601288113732, 50.711019683667]}";1035;50.7110196837,3.16012881137
TOURCOING CENTRE;TOURCOING;599;2;"{""type"": ""Point"", ""coordinates"": [3.1599739344004, 50.720926979344]}";1037;50.7209269793,3.1599739344
PORTE DES POSTES;LILLE;350;1;"{""type"": ""Point"", ""coordinates"": [3.0502351989216, 50.618407401948]}";3;50.6184074019,3.05023519892
REPUBLIQUE BEAUX ARTS;LILLE;350;1;"{""type"": ""Point"", ""coordinates"": [3.0607927879332, 50.631629573105]}";6;50.6316295731,3.06079278793
RIHOUR;LILLE;350;1;"{""type"": ""Point"", ""coordinates"": [3.0628135342366, 50.635366114256]}";7;50.6353661143,3.06281353424
PONT DE BOIS;VILLENEUVE D'ASCQ;009;1;"{""type"": ""Point"", ""coordinates"": [3.1280156843843, 50.624223962797]}";14;50.6242239628,3.12801568438
LILLE GRAND PALAIS;LILLE;350;2;"{""type"": ""Point"", ""coordinates"": [3.0748942850149, 50.629636719335]}";1002;50.6296367193,3.07489428501
PORTE DE DOUAI;LILLE;350;2;"{""type"": ""Point"", ""coordinates"": [3.0721029651317, 50.61804026565]}";1004;50.6180402657,3.07210296513
PORTE D'ARRAS;LILLE;350;2;"{""type"": ""Point"", ""coordinates"": [3.0622480559372, 50.617588052888]}";1005;50.6175880529,3.06224805594
LOMME LAMBERSART NOTEBART;LOMME (LILLE);355;2;"{""type"": ""Point"", ""coordinates"": [3.0186906263643, 50.640652054395]}";1011;50.6406520544,3.01869062636
MITTERIE;LOMME (LILLE);355;2;"{""type"": ""Point"", ""coordinates"": [3.0073821985388, 50.646739411231]}";1013;50.6467394112,3.00738219854
GARE LILLE EUROPE;LILLE;350;2;"{""type"": ""Point"", ""coordinates"": [3.076314118337, 50.639201047521]}";1017;50.6392010475,3.07631411834
